d1,d2,d3,d4,d5
2735.6421,1939.874,1101.515,368.51901,112.436
1196.467,858.42096,702.396,158.701,61.315998
404.06598,290.03299,383.86398,42.087997,9.3699999
21.870001,13.319,0,15.598,0
3.2869999,2.7409999,76.134995,89.458,0
