id,fw,iw,white,female,wealthqr,pwealthqr,wealthqn,pwealthqn,wealthtr,pwealthtr,wealthpr,pwealthpr
323003,42,69.916,1,0,4,4,5,5,3,3,85,83
323004,42,65.939003,1,1,4,4,5,5,3,3,94,83
323005,42,71.191002,1,0,2,4,2,5,1,3,33,83
326003,34,42.623001,1,0,4,2,5,2,3,2,94,40
326004,34,43.833,1,1,2,2,2,2,2,2,35,40
327003,36,58.301998,1,1,2,3,3,4,2,2,41,65
331003,38,64.158997,1,1,3,4,4,5,2,3,63,92
331005,38,59.013,1,1,4,4,4,5,3,3,78,92
344006,16.5,64.169998,1,1,2,3,3,3,2,2,45,58
350003,31,50.036999,1,1,2,3,2,4,2,3,38,73
351003,33,54.144001,1,1,2,3,3,4,2,2,50,61
351004,33,56.139999,1,1,3,3,4,4,2,2,63,61
351006,33,61.796001,1,1,2,3,2,4,1,2,27,61
355003,34,50.014999,1,1,3,4,3,4,2,3,56,79
355004,34,55.429001,1,0,3,4,4,4,3,3,75,79
356003,35,57.087002,1,1,4,4,4,5,3,3,78,98
361003,24,43.155998,1,0,1,4,2,5,1,3,25,84
361004,24,42.362999,1,0,3,4,4,5,2,3,63,84
375004,34,57.748001,1,0,1,4,1,5,1,3,14,91
391003,42,69.033997,1,1,4,4,5,5,3,3,92,99
414003,34,65.749001,1,1,2,3,3,3,2,2,43,56
414005,34,53.124001,1,1,4,3,5,3,3,2,86,56
414006,34,53.138,1,1,3,3,4,3,3,2,67,56
419002,5,11.134,0,1,1,1,1,1,1,1,15,6
419004,5,11.108,0,0,2,1,3,1,2,1,41,6
423003,23,47.352001,1,0,2,2,3,2,2,2,50,36
423004,23,42.442001,1,0,3,2,3,2,2,2,55,36
428004,34,50.074001,1,0,3,4,4,5,3,3,69,95
431004,34,56.992001,1,0,1,3,1,4,1,3,8,75
431005,34,58.771,1,0,1,3,1,4,1,3,15,75
432004,42,66.211998,1,0,2,3,2,3,2,2,37,56
433008,28,47.693001,1,1,1,1,1,1,1,1,4,20
442003,31,52.562,1,0,1,3,2,3,1,2,23,55
443003,35,67.055,1,0,1,1,1,1,1,1,12,15
449003,39,62.199001,0,1,1,1,1,1,1,1,11,19
450004,31,55.028999,1,0,2,1,3,2,2,1,50,23
450005,31,49.979,1,1,4,1,5,2,3,1,94,23
450021,31,60.762001,1,0,1,1,1,2,1,1,15,23
455003,16,43.605999,1,1,1,3,1,4,1,2,15,66
459004,31,53.639999,1,0,4,3,5,3,3,2,81,58
467003,16,36.837002,1,1,1,4,1,4,1,3,14,79
473004,35,66.628998,1,1,2,2,2,2,1,1,30,30
473021,35,61.708,1,0,4,2,5,2,3,1,98,30
478004,38,67.808998,1,1,2,1,2,1,2,1,39,6
479003,38,64.526001,1,0,2,2,3,2,2,2,44,40
486004,30,55.516998,1,0,1,2,1,3,1,2,12,44
487004,22,41.062,1,1,1,2,1,3,1,2,12,43
487005,22,66.804001,1,0,1,2,1,3,1,2,20,43
508004,30,53.096001,1,1,2,2,3,2,2,2,48,34
510003,42,71.726997,1,0,2,2,2,3,1,2,29,45
516002,45,88.305,1,0,3,2,4,2,2,1,67,33
517004,42,65.462997,1,1,4,4,4,5,3,3,79,95
517005,42,70.055,1,1,4,4,4,5,3,3,80,95
517006,42,68.508003,1,1,3,4,4,5,2,3,61,95
